FID,wkb_geometry,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.115,POINT (12.551519291645517 55.68711574399938),1628,1130,Betalingsautomat,2604,Blå,AK,HANS TAVSENS GADE,3,Husmur,2000173,2011-04-15T00:00:00,2015-12-05T22:34:03
parkomat.116,POINT (12.564925940697606 55.69282647010127),744,1135,Betalingsautomat,600,BLÅ,IN,BLEGDAMSVEJ,30,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.117,POINT (12.563941945607086 55.69228386791877),745,1136,Betalingsautomat,600,BLÅ,IN,BLEGDAMSVEJ,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.118,POINT (12.562874207159908 55.691715508601696),746,1137,Betalingsautomat,600,BLÅ,IN,BLEGDAMSVEJ,10,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.119,POINT (12.56176955090722 55.69110804503486),747,1138,Betalingsautomat,600,BLÅ,IN,BLEGDAMSVEJ,6A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.120,POINT (12.562469689557792 55.691719725746246),748,1139,Betalingsautomat,600,BLÅ,IN,BLEGDAMSVEJ,1A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.121,POINT (12.5636783421739 55.69236526794623),749,1140,Betalingsautomat,600,BLÅ,IN,BLEGDAMSVEJ,3A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.122,POINT (12.564942846695288 55.69304034382868),750,1141,Betalingsautomat,600,BLÅ,IN,BLEGDAMSVEJ,3C,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.123,POINT (12.546444868489003 55.687281055038675),772,1164,Betalingsautomat,2816,BLÅ,IN,HENRIK RUNGS GADE,1,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.124,POINT (12.545727270005738 55.68659445520873),774,1165,Betalingsautomat,2588,BLÅ,IN,HANS EGEDES GADE,21,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.125,POINT (12.546373792697763 55.6861561682),773,1166,Betalingsautomat,2816,BLÅ,IN,HENRIK RUNGS GADE,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.126,POINT (12.547329506509053 55.68725564760335),775,1167,Betalingsautomat,5724,BLÅ,IN,RANTZAUSGADE,45,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.127,POINT (12.549190819502224 55.686759804334855),776,1168,Betalingsautomat,5724,BLÅ,IN,RANTZAUSGADE,34B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.128,POINT (12.549232173500275 55.68611802755448),777,1169,Betalingsautomat,3468,BLÅ,IN,JÆGERGADE,6,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.129,POINT (12.549291966787798 55.685729592223744),778,1170,Betalingsautomat,3468,BLÅ,IN,JÆGERGADE,11,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.130,POINT (12.549520514436631 55.68528497067267),779,1171,Betalingsautomat,8636,BLÅ,IN,Åboulevard,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
