,LAT,LOCATION,LON,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
"(40.5181633, -74.2046995)",40.5181633,1, -74.2046995,0.0,0.0
"(40.5181775, -74.2060087)",40.5181775,1, -74.2060087,0.0,0.0
"(40.5181963, -74.2237942)",40.5181963,1, -74.2237942,0.0,0.0
"(40.5182829, -74.2244635)",40.5182829,1, -74.2244635,1.0,0.0
"(40.5182897, -74.1952155)",40.5182897,3, -74.1952155,0.0,0.0
"(40.5183183, -74.2040058)",40.5183183,3, -74.2040058,1.0,0.0
"(40.5184067, -74.2127532)",40.5184067,5, -74.2127532,2.0,0.0
"(40.518518, -74.1996796)",40.518518,6, -74.1996796,2.0,0.0
"(40.518651, -74.1941879)",40.518651,1, -74.1941879,0.0,0.0
"(40.5187285, -74.2402401)",40.5187285,2, -74.2402401,0.0,0.0
"(40.5187675, -74.2106251)",40.5187675,3, -74.2106251,0.0,0.0
"(40.5188245, -74.1986303)",40.5188245,3, -74.1986303,0.0,0.0
"(40.5190704, -74.1945092)",40.5190704,1, -74.1945092,0.0,0.0
"(40.5191263, -74.197135)",40.5191263,33, -74.197135,17.0,0.0
"(40.5191744, -74.2087669)",40.5191744,3, -74.2087669,0.0,0.0
"(40.5192788, -74.1946501)",40.5192788,1, -74.1946501,0.0,0.0
"(40.5194243, -74.1961971)",40.5194243,2, -74.1961971,3.0,0.0
"(40.5195385, -74.2077825)",40.5195385,1, -74.2077825,0.0,0.0
"(40.5196225, -74.2201375)",40.5196225,4, -74.2201375,3.0,0.0
"(40.5197377, -74.2068947)",40.5197377,2, -74.2068947,0.0,0.0
"(40.5199452, -74.2059926)",40.5199452,1, -74.2059926,0.0,0.0
"(40.5199769, -74.1972993)",40.5199769,2, -74.1972993,0.0,0.0
"(40.5199833, -74.2292996)",40.5199833,3, -74.2292996,1.0,0.0
"(40.5199924, -74.1880845)",40.5199924,1, -74.1880845,0.0,0.0
"(40.5199997, -74.1951917)",40.5199997,11, -74.1951917,6.0,0.0
"(40.5200889, -74.2054139)",40.5200889,1, -74.2054139,0.0,0.0
"(40.5200911, -74.1881567)",40.5200911,1, -74.1881567,0.0,0.0
"(40.5202771, -74.2045657)",40.5202771,1, -74.2045657,0.0,0.0
"(40.520281, -74.2188269)",40.520281,1, -74.2188269,1.0,0.0
"(40.5203393, -74.2111408)",40.5203393,3, -74.2111408,0.0,0.0
"(40.5203591, -74.2092993)",40.5203591,1, -74.2092993,0.0,0.0
"(40.5206308, -74.1784937)",40.5206308,1, -74.1784937,0.0,0.0
"(40.5206333, -74.2079477)",40.5206333,1, -74.2079477,0.0,0.0
"(40.5206449, -74.2333483)",40.5206449,1, -74.2333483,0.0,0.0
"(40.5207623, -74.2295829)",40.5207623,1, -74.2295829,0.0,0.0
"(40.5209185, -74.2351117)",40.5209185,60, -74.2351117,10.0,0.0
"(40.5209288, -74.2173543)",40.5209288,17, -74.2173543,4.0,0.0
"(40.5209937, -74.2164158)",40.5209937,1, -74.2164158,0.0,0.0
"(40.5211538, -74.21451)",40.5211538,3, -74.21451,0.0,0.0
"(40.5212352, -74.2135463)",40.5212352,4, -74.2135463,0.0,0.0
"(40.5212484, -74.2047557)",40.5212484,1, -74.2047557,0.0,0.0
"(40.5212801, -74.2394579)",40.5212801,30, -74.2394579,12.0,0.0
"(40.5214301, -74.1982316)",40.5214301,1, -74.1982316,1.0,0.0
"(40.5214345, -74.2096515)",40.5214345,2, -74.2096515,0.0,0.0
"(40.5215315, -74.2136156)",40.5215315,1, -74.2136156,1.0,0.0
"(40.5215552, -74.2170614)",40.5215552,1, -74.2170614,0.0,0.0
"(40.5215791, -74.2145761)",40.5215791,1, -74.2145761,0.0,0.0
"(40.5216787, -74.2126808)",40.5216787,3, -74.2126808,0.0,0.0
"(40.5217311, -74.2350426)",40.5217311,1, -74.2350426,2.0,0.0
"(40.5217668, -74.2350391)",40.5217668,1, -74.2350391,0.0,0.0
"(40.5221757, -74.1987949)",40.5221757,1, -74.1987949,0.0,0.0
"(40.5222111, -74.2097115)",40.5222111,1, -74.2097115,0.0,0.0
"(40.5222329, -74.2299116)",40.5222329,1, -74.2299116,0.0,0.0
"(40.5223655, -74.2167331)",40.5223655,34, -74.2167331,1.0,0.0
"(40.5224807, -74.2349481)",40.5224807,1, -74.2349481,0.0,0.0
"(40.5224945, -74.2138165)",40.5224945,4, -74.2138165,0.0,0.0
"(40.5225721, -74.1900053)",40.5225721,4, -74.1900053,1.0,0.0
"(40.52266, -74.1743699)",40.52266,1, -74.1743699,0.0,0.0
"(40.5227069, -74.2233921)",40.5227069,1, -74.2233921,0.0,0.0
"(40.5227796, -74.2049978)",40.5227796,1, -74.2049978,0.0,0.0
"(40.5227827, -74.2349168)",40.5227827,1, -74.2349168,0.0,0.0
"(40.5227933, -74.2095767)",40.5227933,1, -74.2095767,0.0,0.0
"(40.5228007, -74.1992608)",40.5228007,1, -74.1992608,0.0,0.0
"(40.5228548, -74.2206805)",40.5228548,1, -74.2206805,0.0,0.0
"(40.5228576, -74.1744135)",40.5228576,1, -74.1744135,2.0,0.0
"(40.5229171, -74.2196988)",40.5229171,1, -74.2196988,1.0,0.0
"(40.5230099, -74.2297956)",40.5230099,1, -74.2297956,0.0,0.0
"(40.5230779, -74.2174045)",40.5230779,1, -74.2174045,0.0,0.0
"(40.5231263, -74.1884674)",40.5231263,13, -74.1884674,7.0,0.0
"(40.5231378, -74.2162392)",40.5231378,18, -74.2162392,3.0,0.0
"(40.5231634, -74.203722)",40.5231634,1, -74.203722,0.0,0.0
"(40.523219, -74.2336091)",40.523219,1, -74.2336091,0.0,0.0
"(40.5233944, -74.2095858)",40.5233944,1, -74.2095858,0.0,0.0
"(40.5234522, -74.2139886)",40.5234522,1, -74.2139886,0.0,0.0
"(40.5234814, -74.2231321)",40.5234814,1, -74.2231321,0.0,0.0
"(40.5235327, -74.1997414)",40.5235327,2, -74.1997414,3.0,0.0
"(40.5235432, -74.2016154)",40.5235432,1, -74.2016154,0.0,0.0
"(40.5235725, -74.2392072)",40.5235725,1, -74.2392072,0.0,0.0
"(40.5235785, -74.1872169)",40.5235785,4, -74.1872169,2.0,0.0
"(40.5235857, -74.2159422)",40.5235857,1, -74.2159422,0.0,0.0
"(40.5235891, -74.2051405)",40.5235891,2, -74.2051405,0.0,0.0
"(40.5236744, -74.2198343)",40.5236744,1, -74.2198343,0.0,0.0
"(40.5237649, -74.2184678)",40.5237649,1, -74.2184678,0.0,0.0
"(40.5238522, -74.2172883)",40.5238522,1, -74.2172883,1.0,0.0
"(40.5239568, -74.2156736)",40.5239568,25, -74.2156736,1.0,0.0
"(40.5239976, -74.1860995)",40.5239976,30, -74.1860995,9.0,1.0
"(40.5240172, -74.2392051)",40.5240172,1, -74.2392051,0.0,0.0
"(40.524097, -74.2140986)",40.524097,12, -74.2140986,1.0,0.0
"(40.5241475, -74.2135196)",40.5241475,1, -74.2135196,0.0,0.0
"(40.5241828, -74.2347922)",40.5241828,29, -74.2347922,4.0,0.0
"(40.524236, -74.2101855)",40.524236,1, -74.2101855,0.0,0.0
"(40.5242669, -74.2392348)",40.5242669,1, -74.2392348,1.0,0.0
"(40.524276, -74.2122934)",40.524276,2, -74.2122934,0.0,0.0
"(40.5243004, -74.2017939)",40.5243004,1, -74.2017939,0.0,0.0
"(40.5244148, -74.2114234)",40.5244148,1, -74.2114234,0.0,0.0
"(40.524442, -74.1739752)",40.524442,1, -74.1739752,0.0,0.0
"(40.5244571, -74.2152831)",40.5244571,1, -74.2152831,0.0,0.0
"(40.5244754, -74.2052835)",40.5244754,1, -74.2052835,0.0,0.0
"(40.5244923, -74.2003665)",40.5244923,6, -74.2003665,1.0,0.0
"(40.5245585, -74.2295419)",40.5245585,4, -74.2295419,0.0,0.0
"(40.5245986, -74.1844213)",40.5245986,4, -74.1844213,1.0,0.0
"(40.5246116, -74.2304414)",40.5246116,24, -74.2304414,3.0,0.0
"(40.5246404, -74.2004641)",40.5246404,5, -74.2004641,0.0,0.0
"(40.5246509, -74.2038525)",40.5246509,1, -74.2038525,0.0,0.0
"(40.5246808, -74.1895761)",40.5246808,2, -74.1895761,0.0,0.0
"(40.5247216, -74.2102805)",40.5247216,6, -74.2102805,0.0,0.0
"(40.52474, -74.2334345)",40.52474,30, -74.2334345,1.0,0.0
"(40.5247433, -74.1866159)",40.5247433,3, -74.1866159,0.0,0.0
"(40.5249842, -74.1887208)",40.5249842,1, -74.1887208,1.0,0.0
"(40.5250272, -74.2392663)",40.5250272,20, -74.2392663,3.0,0.0
"(40.5252279, -74.2096131)",40.5252279,8, -74.2096131,0.0,0.0
"(40.5252815, -74.2073004)",40.5252815,2, -74.2073004,3.0,0.0
"(40.5253121, -74.208563)",40.5253121,2, -74.208563,1.0,0.0
"(40.525354, -74.2066675)",40.525354,2, -74.2066675,0.0,0.0
"(40.5253868, -74.239264)",40.5253868,15, -74.239264,2.0,0.0
"(40.5254135, -74.2009628)",40.5254135,8, -74.2009628,0.0,0.0
"(40.525494, -74.2156066)",40.525494,4, -74.2156066,0.0,0.0
"(40.5255034, -74.1850533)",40.5255034,1, -74.1850533,0.0,0.0
"(40.5255219, -74.1871864)",40.5255219,4, -74.1871864,1.0,0.0
"(40.5255456, -74.2054595)",40.5255456,12, -74.2054595,4.0,0.0
"(40.5255537, -74.1684171)",40.5255537,1, -74.1684171,1.0,0.0
"(40.5255761, -74.2052581)",40.5255761,3, -74.2052581,0.0,0.0
"(40.5257108, -74.1680218)",40.5257108,1, -74.1680218,0.0,0.0
"(40.5257847, -74.2352979)",40.5257847,1, -74.2352979,0.0,0.0
"(40.5258733, -74.1676445)",40.5258733,1, -74.1676445,0.0,0.0
"(40.5259072, -74.20277)",40.5259072,1, -74.20277,1.0,0.0
"(40.5259773, -74.1751483)",40.5259773,2, -74.1751483,0.0,0.0
"(40.5259825, -74.2156441)",40.5259825,1, -74.2156441,0.0,0.0
"(40.5260032, -74.1932272)",40.5260032,1, -74.1932272,0.0,0.0
"(40.5260674, -74.202177)",40.5260674,2, -74.202177,0.0,0.0
"(40.5260785, -74.1875836)",40.5260785,4, -74.1875836,2.0,0.0
"(40.5260901, -74.1803104)",40.5260901,22, -74.1803104,8.0,0.0
"(40.5262285, -74.1668289)",40.5262285,1, -74.1668289,0.0,0.0
"(40.5262662, -74.2015265)",40.5262662,46, -74.2015265,2.0,0.0
"(40.5263298, -74.2074115)",40.5263298,1, -74.2074115,0.0,0.0
"(40.5263339, -74.2126633)",40.5263339,1, -74.2126633,0.0,0.0
"(40.526411, -74.2198289)",40.526411,1, -74.2198289,0.0,0.0
